Simulacao gerada em 2014-11-16 22:08:49.817000

Grafo UK12:

	a) Sementes utilizadas: [1, 11]
		Vertice			Label		Pi			Lambda
			0		Aberystwyth		9			310.0
			1		Brighton		None			0
			2		Edinburgh		4			253.0
			3		Exeter			1			180.0
			4		Glasgow			11			165.0
			5		Inverness		1			190.0
			6		Liverpool		1			138.0
			7		London			11			108.0
			8		Newcastle		6			205.0
			9		Nottingham		7			263.0
			10		Oxford			6			255.0
			11		Stratford		None			0

	b) Sementes utilizadas: [9, 7]
		Vertice			Label		Pi			Lambda
			0		Aberystwyth		9			47.0
			1		Brighton		5			312.0
			2		Edinburgh		9			206.0
			3		Exeter			4			269.0
			4		Glasgow			9			130.0
			5		Inverness		7			122.0
			6		Liverpool		7			183.0
			7		London			None			0
			8		Newcastle		6			250.0
			9		Nottingham		None			0
			10		Oxford			9			202.0
			11		Stratford		7			108.0

Grafo WG59:

	a) Sementes utilizadas: [3, 29, 1]
		Vertice			Label		Pi			Lambda
			0		Augsburg		31			58.0
			1		Bielefeld		None			0
			2		Bochum			1			35.0
			3		Bremen			None			0
			4		Darmstadt		29			30.0
			5		Essen			2			40.0
			6		Freiburg		10			82.0
			7		Giessen			32			51.0
			8		Hamburg			3			31.0
			9		Hannover		1			30.0
			10		Heilbronn		29			32.0
			11		Kaiserslautern	32			57.0
			12		Karlsruhe		10			50.0
			13		Kassel			1			33.0
			14		Kempten			31			82.0
			15		Koblenz			43			59.0
			16		Koeln			48			52.0
			17		Landshut		45			71.0
			18		Lichtenfels		33			31.0
			19		Mainz			32			40.0
			20		Muenchen		31			72.0
			21		Muenster		1			20.0
			22		Neuss			2			50.0
			23		Nuernburg		45			31.0
			24		Oldenburg		3			13.0
			25		Regensburg		42			59.0
			26		Rendsburg		3			46.0
			27		Stuttgart		29			41.0
			28		Ulm				31			59.0
			29		Wuerzburg		None			0
			30		Aachen			48			71.0
			31		Ansbach			29			20.0
			32		Aschaffenburg	29			24.0
			33		Bamberg			29			23.0
			34		Bayreuth		33			34.0
			35		Bonn			39			59.0
			36		Braunschweig	9			48.0
			37		Bremen			3			7.0
			38		Coburg			29			29.0
			39		Dortmund		1			27.0
			40		Duesseldorf		2			47.0
			41		Duisburg		2			47.0
			42		Erlangen		29			27.0
			43		Frankfurt		32			33.0
			44		Fulda			29			27.0
			45		Fuerth			29			28.0
			46		Gelsen-Kirchen	21			39.0
			47		Gummersburg		39			45.0
			48		Hagen			1			33.0
			49		Hersbruck		42			35.0
			50		Ingolstadt		31			47.0
			51		Kiel			37			55.0
			52		Mannheim		32			44.0
			53		Marburg			44			53.0
			54		Offenburg		12			70.0
			55		Osnabrueck		1			14.0
			56		Reutlingen		27			50.0
			57		Saarbruecken	11			76.0
			58		Siegen			39			53.0

	b) Sementes utilizadas: [1, 39, 36]
		Vertice			Label		Pi			Lambda
			0		Augsburg		50			146.0
			1		Bielefeld		None			0
			2		Bochum			39			10.0
			3		Bremen			55			48.0
			4		Darmstadt		43			67.0
			5		Essen			39			15.0
			6		Freiburg		54			130.0
			7		Giessen			58			43.0
			8		Hamburg			36			51.0
			9		Hannover		36			18.0
			10		Heilbronn		32			98.0
			11		Kaiserslautern	19			82.0
			12		Karlsruhe		19			95.0
			13		Kassel			1			33.0
			14		Kempten			27			156.0
			15		Koblenz			47			44.0
			16		Koeln			48			25.0
			17		Landshut		25			142.0
			18		Lichtenfels		38			80.0
			19		Mainz			58			57.0
			20		Muenchen		49			153.0
			21		Muenster		39			16.0
			22		Neuss			48			24.0
			23		Nuernburg		18			105.0
			24		Oldenburg		55			46.0
			25		Regensburg		34			126.0
			26		Rendsburg		36			76.0
			27		Stuttgart		52			108.0
			28		Ulm				10			130.0
			29		Wuerzburg		44			90.0
			30		Aachen			48			44.0
			31		Ansbach			38			109.0
			32		Aschaffenburg	58			67.0
			33		Bamberg			38			87.0
			34		Bayreuth		18			89.0
			35		Bonn			39			32.0
			36		Braunschweig	None			0
			37		Bremen			55			53.0
			38		Coburg			36			75.0
			39		Dortmund		None			0
			40		Duesseldorf		39			21.0
			41		Duisburg		39			22.0
			42		Erlangen		38			100.0
			43		Frankfurt		58			58.0
			44		Fulda			13			63.0
			45		Fuerth			38			104.0
			46		Gelsen-Kirchen	39			13.0
			47		Gummersburg		39			18.0
			48		Hagen			39			6.0
			49		Hersbruck		18			105.0
			50		Ingolstadt		38			127.0
			51		Kiel			36			76.0
			52		Mannheim		19			78.0
			53		Marburg			48			40.0
			54		Offenburg		47			112.0
			55		Osnabrueck		1			14.0
			56		Reutlingen		58			116.0
			57		Saarbruecken	47			83.0
			58		Siegen			39			26.0

Grafo USAir97:

	a) Sementes utilizadas: [10, 96, 63, 234, 242]
		Vertice					Label				Pi			Lambda
			0		Wiley Post-Will Rogers Mem    	7			0.1663
			1		Deadhorse                     	7			0.1503
			2		Ralph Wien Memorial           	7			0.148
			3		Fairbanks Intl                	7			0.1002
			4		Nome                          	7			0.1486
			5		St Mary's                     	12			0.0176
			6		Aniak                         	12			0.0173
			7		Anchorage Intl                	12			0.0637
			8		Tuluksak                      	10			0.0022
			9		Akiachak                      	10			0.0011
			10		Akiak                         	None			0
			11		Kwethluk                      	9			0.0021
			12		Bethel                        	10			0.0033
			13		Napaskiak                     	12			0.0042
			14		Napakiak                      	12			0.0044
			15		Merle K (Mudhole) Smith       	7			0.0876
			16		Tuntutuliak                   	12			0.0093
			17		Eek                           	12			0.0088
			18		Kongiganak                    	12			0.0128
			19		Kwigillingok                  	12			0.0145
			20		Quinhagak                     	12			0.0131
			21		Yakutat                       	15			0.1187
			22		Dillingham                    	7			0.1115
			23		King Salmon                   	7			0.1051
			24		Gustavus                      	25			0.1524
			25		Juneau Intl                   	7			0.1467
			26		Kodiak                        	7			0.0988
			27		St Paul Island                	7			0.1736
			28		Sitka                         	46			0.1388
			29		Port Heiden                   	7			0.1233
			30		James A Johnson Petersburg    	31			0.1305
			31		Wrangell                      	32			0.1262
			32		Ketchikan Intl                	46			0.1149
			33		Sand Point                    	7			0.1411
			34		Cold Bay                      	7			0.15
			35		Unalaska                      	7			0.173
			36		Eareckson As                  	7			0.2636
			37		Adak Naf                      	7			0.2259
			38		Bellingham Intl               	46			0.0384
			39		Glacier Park Intl             	44			0.0389
			40		Minot Intl                    	52			0.1265
			41		William R Fairchild Intl      	46			0.0343
			42		Grand Forks Afb               	66			0.1561
			43		Grand Forks Intl              	66			0.1553
			44		Spokane Intl                  	58			0.0209
			45		Great Falls Intl              	44			0.0523
			46		Seattle-Tacoma Intl           	58			0.0254
			47		Pangborn Memorial             	48			0.0215
			48		Grant County                  	59			0.0167
			49		Missoula Intll                	44			0.0396
			50		Hector Intll                  	165			0.1401
			51		Duluth Intl                   	66			0.1391
			52		Bismarck Muni                 	143			0.112
			53		Pullman/Moscow Regional       	59			0.0135
			54		Helena Regional               	44			0.0508
			55		Yakima Air Terminal           	58			0.0135
			56		Marquette County              	69			0.1233
			57		Lewiston-Nez Perce County     	59			0.0117
			58		Tri-Cities                    	63			0.0057
			59		Walla Walla Regional          	63			0.0048
			60		Bert Mooney                   	44			0.0511
			61		Billings Logan Intl           	49			0.0698
			62		Gallatin Field                	44			0.0579
			63		Eastern Oregon Regional At Pen	None			0
			64		Portland Intl                 	63			0.0191
			65		Mcnary Fld                    	64			0.0259
			66		Minneapolis-St Paul Intl/Wold-	175			0.1197
			67		Bangor Intl                   	95			0.1124
			68		Central Wisconsin             	117			0.1094
			69		Cherry Capital                	111			0.1034
			70		Austin Straubel Intll         	117			0.1051
			71		Burlington Intl               	176			0.099
			72		Outagamie County              	93			0.1026
			73		Roberts Field                 	64			0.0338
			74		Mahlon Sweet Field            	64			0.0334
			75		Rapid City Regional           	143			0.0862
			76		Wittman Regional              	93			0.1001
			77		Rochester Intll               	117			0.1109
			78		La Crosse Muni                	117			0.1061
			79		Portland Intl Jetport         	146			0.099
			80		Jackson Hole                  	84			0.0133
			81		Joe Foss Field                	143			0.1132
			82		Boise Air Terminal /Gowen Fld/	96			0.0195
			83		Mbs Intll                     	111			0.0898
			84		Fanning Field                 	96			0.0064
			85		Friedman Memorial             	82			0.0293
			86		North Bend Muni               	64			0.0414
			87		Muskegon County               	117			0.0953
			88		Oneida County                 	173			0.0842
			89		Dane County Regional-Truax Fie	117			0.0944
			90		Greater Rochester Intl        	176			0.0817
			91		Syracuse Hancock Intl         	178			0.0829
			92		Bishop Intll                  	151			0.0835
			93		General Mitchell Intll        	175			0.0897
			94		Greater Buffalo Intl          	151			0.0784
			95		Manchester                    	146			0.0901
			96		Pocatello Regional            	None			0
			97		Natrona County Intl           	143			0.0658
			98		Kent County Intl              	175			0.0859
			99		Capital City                  	151			0.085
			100		Albany County                 	178			0.0827
			101		Waterloo Muni                 	117			0.1047
			102		Tompkins County               	151			0.0809
			103		Twin Falls-Sun Valley Regional	96			0.0105
			104		Detroit City                  	166			0.09
			105		Sioux Gateway                 	165			0.1105
			106		Dubuque Regional              	117			0.096
			107		Rogue Valley Intl- M          	64			0.0498
			108		General Edward Lawrence Logan 	161			0.0872
			109		Worcester Muni                	161			0.0837
			110		Kalamazoo/Battle Creek Interna	160			0.0819
			111		Detroit Metropolitan Wayne Cou	151			0.0767
			112		Binghamton Regional/Edwin A Li	173			0.0748
			113		Greater Rockford              	117			0.0876
			114		Elmira/Corning Regional       	151			0.0771
			115		Klamath Falls Intll           	64			0.0522
			116		Erie Intl                     	151			0.069
			117		Chicago O'hare Intl           	217			0.0811
			118		Bradley Intl                  	161			0.0787
			119		Cedar Rapids Muni             	181			0.1001
			120		William B. Heilig Field       	141			0.1134
			121		Merrill C Meigs               	162			0.1024
			122		Chicago Midway                	166			0.0805
			123		Jack Mc Namara Field          	137			0.1169
			124		Theodore Francis Green State  	161			0.0814
			125		Michiana Rgnl Transportation C	175			0.0757
			126		Toledo Express                	151			0.0748
			127		Des Moines Intl               	181			0.1009
			128		Stewart Int'l                 	220			0.0748
			129		Quad-City                     	181			0.0952
			130		Cleveland-Hopkins Intl        	151			0.0659
			131		Wilkes-Barre/Scranton Intl    	173			0.0668
			132		Eppley Airfield               	181			0.1067
			133		Tweed-New Haven               	135			0.0921
			134		Youngstown-Warren Regional    	138			0.0704
			135		Westchester County            	151			0.0875
			136		Fort Wayne Intll              	175			0.0676
			137		Arcata                        	182			0.1093
			138		Akron-Canton Regional         	229			0.0654
			139		Lincoln Muni                  	165			0.1031
			140		University Park               	176			0.0601
			141		Elko Muni-J.C. Harris Field   	143			0.0505
			142		Long Island Mac Arthur        	161			0.0691
			143		Salt Lake City Intl           	103			0.0311
			144		Burlington Regional           	181			0.0892
			145		La Guardia                    	217			0.0661
			146		Newark Intl                   	161			0.0646
			147		Greater Peoria Regional       	181			0.088
			148		Lehigh Valley Intll           	156			0.0623
			149		John F Kennedy Intl           	161			0.0655
			150		Redding Muni                  	64			0.0676
			151		Pittsburgh Intll              	217			0.0538
			152		Yampa Valley                  	165			0.0742
			153		Bloomington/Normal            	181			0.0874
			154		Purdue University             	170			0.0961
			155		Mercer County                 	151			0.0815
			156		Harrisburg Intll              	176			0.0543
			157		University Of Illinois-Willard	160			0.0793
			158		Port Columbus Intl            	229			0.0576
			159		Quincy Muni Baldwin Field     	181			0.0816
			160		James M Cox Dayton Intl       	229			0.0586
